latitude_intervention,longitude_intervention,latitude_permanence,longitude_permanence,vector_type
50.87774,4.37871,50.86948,4.38649,Ambulance
50.84454,4.38479,50.81887,4.40311,Ambulance
50.86934,4.41087,50.85332,4.45325,MUG
50.86934,4.41087,50.86948,4.38649,Ambulance
50.84589,4.35701,50.85097,4.36411,Ambulance
50.86905,4.33348,50.83254,4.31199,Ambulance
50.80675,4.37156,50.81887,4.40311,Ambulance
50.847,4.34589,50.85097,4.36411,Ambulance
50.847,4.34589,50.8343302,4.3454504,PIT
50.87103,4.39673,50.85211,4.4604,Ambulance
50.83715,4.30809,50.815980418,4.3415237283,Ambulance
50.8527,4.38032,50.84226,4.39925,Ambulance
50.8316,4.37404,50.8047,4.36763,Ambulance
50.83758,4.34915,50.86948,4.38649,Ambulance
50.87789,4.32998,50.89087,4.30867,Ambulance
50.83398,4.38328,50.81887,4.40311,Ambulance
50.87311,4.40908,50.86948,4.38649,Ambulance
50.87311,4.40908,50.85211,4.4604,Ambulance
50.79229,4.33133,50.78344,4.35633,Ambulance
50.83679,4.37979,50.85097,4.36411,Ambulance
50.87429,4.34727,50.85946,4.35181,Ambulance
50.85276,4.38235,50.85946,4.35181,Ambulance
50.8439,4.35514,50.8343302,4.3454504,Ambulance
50.8975,4.373,50.89087,4.30867,Ambulance
50.80976,4.31649,50.83254,4.31199,Ambulance
50.87243,4.37963,50.85097,4.36411,Ambulance
50.8362,4.41565,50.81887,4.40311,Ambulance
50.8307,4.39938,50.8047,4.36763,Ambulance
50.85274,4.42549,50.86948,4.38649,Ambulance
50.85274,4.42549,50.86937,4.38646,MUG
50.85586,4.35255,50.8343302,4.3454504,Ambulance
50.83926,4.34005,50.83254,4.31199,Ambulance
50.85002,4.35323,50.85946,4.35181,Ambulance
50.83858,4.41059,50.815980418,4.3415237283,Ambulance
50.83858,4.41059,50.8258313,4.378717,MUG
50.82587,4.28548,50.89087,4.30867,Ambulance
50.85592,4.42592,50.8523,4.35988,MUG
50.85592,4.42592,50.85211,4.4604,Ambulance
50.83667,4.33466,50.8343302,4.3454504,PIT
50.83827,4.33618,50.83254,4.31199,Ambulance
50.8917,4.31182,50.89087,4.30867,Ambulance
50.8917,4.31182,50.86948,4.38649,Ambulance
50.8617,4.3383,50.85097,4.36411,Ambulance
50.85002,4.35323,50.83254,4.31199,Ambulance
50.83593,4.3688,50.81887,4.40311,Ambulance
50.84088,4.33714,50.81887,4.40311,Ambulance
50.8444,4.3493,50.85097,4.36411,Ambulance
50.85376,4.37357,50.83254,4.31199,Ambulance
50.83702,4.29566,50.83254,4.31199,Ambulance
50.87276,4.38628,50.86948,4.38649,Ambulance
50.88498,4.38379,50.85946,4.35181,Ambulance
50.83364,4.37317,50.8047,4.36763,Ambulance
50.80938,4.34743,50.8343302,4.3454504,PIT
50.86766,4.32852,50.8343302,4.3454504,Ambulance
50.85571,4.35646,50.85946,4.35181,Ambulance
50.87695,4.34932,50.85946,4.35181,Ambulance
50.84908,4.40188,50.81887,4.40311,Ambulance
50.82677,4.36755,50.8343302,4.3454504,Ambulance
50.8691,4.38436,50.85211,4.4604,Ambulance
50.80705,4.32848,50.815980418,4.3415237283,Ambulance
50.80705,4.32848,50.80469,4.36764,MUG
50.8545,4.35773,50.85097,4.36411,Ambulance
50.82427,4.34332,50.8343302,4.3454504,Ambulance
50.80522,4.34517,50.8258313,4.378717,PIT
50.8427,4.41771,50.81887,4.40311,Ambulance
50.83572,4.35973,50.88492,4.3089,PIT
50.83572,4.35973,50.85097,4.36411,Ambulance
50.83572,4.35973,50.8343302,4.3454504,MUG
50.85521,4.33944,50.85946,4.35181,Ambulance
50.8415,4.33974,50.81887,4.40311,Ambulance
50.8415,4.33974,50.83254,4.31199,Ambulance
50.87733,4.3076,50.89087,4.30867,Ambulance
50.83343,4.3951,50.81887,4.40311,Ambulance
50.86719,4.38693,50.86948,4.38649,Ambulance
50.86719,4.38693,50.86937,4.38646,MUG
50.88958,4.31683,50.88492,4.3089,MUG
50.88958,4.31683,50.89087,4.30867,Ambulance
50.86944,4.3608,50.86948,4.38649,Ambulance
50.81729,4.32037,50.8343302,4.3454504,PIT
50.84167,4.30158,50.83254,4.31199,Ambulance
50.83552,4.33759,50.8343302,4.3454504,Ambulance
50.83552,4.33759,50.8523,4.35988,MUG
50.85754,4.3092,50.83254,4.31199,Ambulance
50.85754,4.3092,50.8523,4.35988,MUG
50.87507,4.3783,50.85946,4.35181,Brandziekenwagen
50.83585,4.29928,50.83254,4.31199,Ambulance
50.78859,4.31543,50.8047,4.36763,Ambulance
50.82816,4.39386,50.81887,4.40311,Ambulance
50.87417,4.35506,50.86948,4.38649,Ambulance
50.87417,4.35506,50.85097,4.36411,Ambulance
50.87417,4.35506,50.85946,4.35181,Ambulance
50.85004,4.3899,50.84226,4.39925,Ambulance
50.82828,4.33002,50.83254,4.31199,Ambulance
50.83349,4.34269,50.8343302,4.3454504,Ambulance
50.84823,4.34945,50.85097,4.36411,Ambulance
50.79624,4.33551,50.8343302,4.3454504,PIT
50.83667,4.33466,50.83254,4.31199,Ambulance
50.83067,4.39011,50.81887,4.40311,Ambulance
50.84396,4.34593,50.8343302,4.3454504,Ambulance
50.82823,4.34274,50.8343302,4.3454504,Ambulance
50.87543,4.32725,50.89087,4.30867,Ambulance
50.84238,4.41574,50.81887,4.40311,Ambulance
50.85226,4.31115,50.83254,4.31199,Ambulance
50.81775,4.37649,50.8047,4.36763,Ambulance
50.85839,4.35418,50.85946,4.35181,Ambulance
50.8146,4.40881,50.81887,4.40311,Ambulance
50.88605,4.33256,50.83254,4.31199,Ambulance
50.87153,4.38881,50.86937,4.38646,MUG
50.87153,4.38881,50.86948,4.38649,Ambulance
50.87153,4.38881,50.8523,4.35988,MUG
50.86293,4.33114,50.85946,4.35181,Ambulance
50.89314,4.31734,50.89087,4.30867,Ambulance
50.84372,4.33041,50.8343302,4.3454504,Ambulance
50.87693,4.40084,50.86948,4.38649,Ambulance
50.87281,4.39889,50.85946,4.35181,Brandziekenwagen
50.8339,4.34515,50.8343302,4.3454504,Ambulance
50.83845,4.33914,50.83254,4.31199,Ambulance
50.82854,4.36049,50.8258313,4.378717,PIT
50.85225,4.35721,50.85097,4.36411,Ambulance
50.81257,4.32865,50.815980418,4.3415237283,Ambulance
50.8514,4.36149,50.85097,4.36411,Ambulance
50.8514,4.36149,50.8523,4.35988,MUG
50.84572,4.35667,50.8343302,4.3454504,Ambulance
50.8845,4.33821,50.89087,4.30867,Ambulance
50.85956,4.31528,50.85946,4.35181,Ambulance
50.81959,4.38115,50.81887,4.40311,Ambulance
50.83808,4.30484,50.83254,4.31199,Ambulance
50.83808,4.30484,50.81396,4.25942,MUG
50.84516,4.31109,50.8343302,4.3454504,MUG
50.84516,4.31109,50.83254,4.31199,Ambulance
50.82498,4.40717,50.81887,4.40311,Ambulance
50.87912,4.34514,50.85946,4.35181,Ambulance
50.82231,4.296,50.83254,4.31199,Ambulance
50.87083,4.32133,50.89087,4.30867,Ambulance
50.89584,4.39266,50.906541477,4.3885618595,MUG
50.89584,4.39266,50.906541477,4.3885618595,Ambulance
50.81554,4.28214,50.83254,4.31199,Ambulance
50.82287,4.34867,50.8343302,4.3454504,PIT
50.84529,4.37845,50.84226,4.39925,Ambulance
50.8185,4.34065,50.815980418,4.3415237283,Ambulance
50.83179,4.34643,50.8343302,4.3454504,Ambulance
50.83732,4.29395,50.83254,4.31199,Ambulance
50.83024,4.38856,50.8258313,4.378717,PIT
50.83555,4.48502,50.85211,4.4604,Ambulance
50.8406,4.31578,50.83254,4.31199,Ambulance
50.83695,4.38115,50.85097,4.36411,Ambulance
50.81425,4.26687,50.85211,4.4604,Ambulance
50.83877,4.28923,50.83254,4.31199,Ambulance
50.84561,4.27159,50.88492,4.3089,PIT
50.85136,4.37535,50.85097,4.36411,Ambulance
50.83002,4.33778,50.8343302,4.3454504,Ambulance
50.83002,4.33778,50.80469,4.36764,MUG
50.8594,4.34455,50.85946,4.35181,Ambulance
50.85269,4.39859,50.86948,4.38649,Ambulance
50.85713,4.4318,50.84226,4.39925,Ambulance
50.8603,4.35246,50.85946,4.35181,Ambulance
50.82766,4.40753,50.81887,4.40311,Ambulance
50.90213,4.34944,50.89087,4.30867,Ambulance
50.85668,4.3532,50.85097,4.36411,Ambulance
50.86191,4.24494,50.89087,4.30867,Ambulance
50.83581,4.30341,50.83254,4.31199,Ambulance
50.84161,4.33969,50.8343302,4.3454504,Ambulance
50.84529,4.37845,50.85097,4.36411,Ambulance
50.85748,4.32071,50.85946,4.35181,Ambulance
50.84258,4.37144,50.8523,4.35988,MUG
50.84258,4.37144,50.8343302,4.3454504,Ambulance
50.8198,4.47678,50.85211,4.4604,Ambulance
50.83232,4.33718,50.83254,4.31199,Ambulance
50.84859,4.32792,50.85946,4.35181,Ambulance
50.8515,4.35314,50.85946,4.35181,Ambulance
50.83881,4.33705,50.8343302,4.3454504,Ambulance
50.87307,4.35711,50.8523,4.35988,MUG
50.87307,4.35711,50.85946,4.35181,Ambulance
50.8433,4.31378,50.83254,4.31199,Ambulance
50.88587,4.33297,50.89087,4.30867,Ambulance
50.88587,4.33297,50.88492,4.3089,MUG
50.85709,4.36993,50.85097,4.36411,Ambulance
50.86002,4.42243,50.85211,4.4604,Ambulance
50.86418,4.3519,50.85946,4.35181,Brandziekenwagen
50.86418,4.3519,50.8523,4.35988,MUG
50.87668,4.35582,50.85946,4.35181,Ambulance
50.83708,4.31333,50.85946,4.35181,Ambulance
50.82237,4.37879,50.81887,4.40311,Ambulance
50.81634,4.29046,50.83254,4.31199,Ambulance
50.85159,4.37618,50.85097,4.36411,Ambulance
50.83266,4.36671,50.8343302,4.3454504,Ambulance
50.83678,4.35355,50.8343302,4.3454504,Ambulance
50.86311,4.36683,50.85097,4.36411,Ambulance
50.86969,4.36879,50.86948,4.38649,Ambulance
50.84825,4.34797,50.85097,4.36411,Ambulance
50.8559,4.23702,50.88492,4.3089,PIT
50.86033,4.37802,50.8343302,4.3454504,PIT
50.86033,4.37802,50.86937,4.38646,MUG
50.85195,4.33811,50.85946,4.35181,Ambulance
50.84917,4.34761,50.85097,4.36411,Ambulance
50.85492,4.37932,50.85097,4.36411,Ambulance
50.85589,4.39714,50.86948,4.38649,Ambulance
50.81878,4.44034,50.81887,4.40311,Ambulance
50.83131,4.29891,50.81396,4.25942,MUG
50.83131,4.29891,50.83254,4.31199,Ambulance
50.82012,4.41134,50.81887,4.40311,Ambulance
50.85143,4.35308,50.85097,4.36411,Ambulance
50.85446,4.43223,50.85211,4.4604,Ambulance
50.83461,4.36333,50.8343302,4.3454504,Ambulance
50.81664,4.3892,50.8258313,4.378717,MUG
50.81664,4.3892,50.81887,4.40311,Ambulance
50.81619,4.3379,50.815980418,4.3415237283,Ambulance
50.84357,4.33898,50.8343302,4.3454504,Ambulance
50.88718,4.41208,50.86948,4.38649,Ambulance
50.8248,4.38185,50.8258313,4.378717,MUG
50.8248,4.38185,50.81887,4.40311,Ambulance
50.82716,4.39234,50.81887,4.40311,Ambulance
50.85551,4.36452,50.85097,4.36411,Ambulance
50.8945,4.32911,50.89087,4.30867,Ambulance
50.856,4.35962,50.85097,4.36411,Ambulance
50.85872,4.42855,50.85211,4.4604,Ambulance
50.85872,4.42855,50.85332,4.45325,MUG
50.8565,4.41929,50.86948,4.38649,Ambulance
50.84777,4.45621,50.85211,4.4604,Ambulance
50.85245,4.36161,50.85097,4.36411,Ambulance
50.82426,4.30856,50.85946,4.35181,Brandziekenwagen
50.82426,4.30856,50.8343302,4.3454504,MUG
50.82426,4.30856,50.83254,4.31199,Ambulance
50.89141,4.34222,50.88492,4.3089,MUG
50.89141,4.34222,50.89087,4.30867,Ambulance
50.7962,4.35412,50.8047,4.36763,Ambulance
50.84599,4.30659,50.83254,4.31199,Ambulance
50.84116,4.44763,50.85211,4.4604,Ambulance
50.84116,4.44763,50.85332,4.45325,MUG
50.85795,4.38071,50.86948,4.38649,Ambulance
50.84053,4.34071,50.8343302,4.3454504,Ambulance
50.82919,4.33958,50.8343302,4.3454504,PIT
50.84838,4.3516,50.85097,4.36411,Ambulance
50.86533,4.39258,50.86948,4.38649,Ambulance
50.82584,4.28542,50.85946,4.35181,Brandziekenwagen
50.82584,4.28542,50.81396,4.25942,MUG
50.79104,4.0,50.78344,4.35633,Ambulance
50.84573,4.35651,50.85097,4.36411,Ambulance
50.87187,4.37964,50.86948,4.38649,Ambulance
50.91912,4.36248,50.88492,4.3089,PIT
50.85348,4.39823,50.86948,4.38649,Ambulance
50.84348,4.33604,50.8258313,4.378717,PIT
50.85817,4.3393,50.85946,4.35181,Ambulance
50.81239,4.32451,50.815980418,4.3415237283,Ambulance
50.81259,4.36104,50.8047,4.36763,Ambulance
50.84946,4.33794,50.8343302,4.3454504,Ambulance
50.8413,4.32154,50.83254,4.31199,Ambulance
50.84656,4.3478,50.85097,4.36411,Ambulance
50.86141,4.34491,50.85946,4.35181,Ambulance
50.83697,4.33504,50.8343302,4.3454504,Ambulance
50.81332,4.3865,50.81887,4.40311,Ambulance
50.82616,4.33298,50.8343302,4.3454504,MUG
50.82616,4.33298,50.815980418,4.3415237283,Ambulance
50.81719,4.26384,50.83254,4.31199,Ambulance
50.87632,4.31352,50.89087,4.30867,Ambulance
50.87632,4.31352,50.8343302,4.3454504,PIT
50.84062,4.3313,50.8343302,4.3454504,Ambulance
50.85432,4.3143,50.83254,4.31199,Ambulance
50.7822,4.38011,50.78344,4.35633,Ambulance
50.7822,4.38011,50.80469,4.36764,MUG
50.86772,4.28383,50.88492,4.3089,PIT
50.85279,4.34225,50.8523,4.35988,MUG
50.85279,4.34225,50.85946,4.35181,Ambulance
50.84864,4.34522,50.85097,4.36411,Ambulance
50.8378,4.39874,50.84226,4.39925,Ambulance
50.8378,4.39874,50.86937,4.38646,MUG
50.80842,4.33924,50.8047,4.36763,Ambulance
50.84687,4.45182,50.85211,4.4604,Ambulance
50.83225,4.31947,50.8258313,4.378717,PIT
50.83441,4.34563,50.8343302,4.3454504,MUG
50.83441,4.34563,50.815980418,4.3415237283,Ambulance
50.90101,4.31969,50.89087,4.30867,Ambulance
50.85679,4.34499,50.85946,4.35181,Ambulance
50.86834,4.38903,50.86948,4.38649,Ambulance
50.86834,4.38903,50.8523,4.35988,MUG
50.84167,4.46574,50.85211,4.4604,Ambulance
50.8713,4.36345,50.86948,4.38649,Ambulance
50.83929,4.36874,50.85097,4.36411,Ambulance
50.87474,4.34725,50.85946,4.35181,Ambulance
50.78732,4.35146,50.78344,4.35633,Ambulance
50.83831,4.46637,50.8343302,4.3454504,PIT
50.81791,4.38818,50.81887,4.40311,Ambulance
50.90174,4.33577,50.89087,4.30867,Ambulance
50.82936,4.36346,50.8343302,4.3454504,Ambulance
50.86635,4.33596,50.88492,4.3089,MUG
50.86635,4.33596,50.85946,4.35181,Ambulance
50.82882,4.2927,50.83254,4.31199,Ambulance
50.82882,4.2927,50.81396,4.25942,MUG
50.85654,4.36351,50.85097,4.36411,Ambulance
50.82911,4.4523,50.85211,4.4604,Ambulance
50.82911,4.4523,50.85332,4.45325,MUG
50.84573,4.35651,50.8343302,4.3454504,MUG
50.84573,4.35651,50.8343302,4.3454504,Ambulance
50.84573,4.35651,50.85946,4.35181,Ambulance
50.85911,4.36548,50.85097,4.36411,Ambulance
50.83842,4.3362,50.8343302,4.3454504,Ambulance
50.79571,4.32987,50.8047,4.36763,Ambulance
50.84526,4.39385,50.86948,4.38649,Ambulance
50.82918,4.28828,50.83254,4.31199,Ambulance
50.86442,4.36702,50.85097,4.36411,Ambulance
50.84311,4.35044,50.8343302,4.3454504,Ambulance
50.85308,4.35966,50.85946,4.35181,Ambulance
50.83669,4.33559,50.8343302,4.3454504,Ambulance
50.81042,4.34714,50.85946,4.35181,Brandziekenwagen
50.81042,4.34714,50.80469,4.36764,MUG
50.86168,4.37025,50.86948,4.38649,Ambulance
50.84579,4.36799,50.8343302,4.3454504,Ambulance
50.85847,4.31468,50.85946,4.35181,Ambulance
50.85635,4.36437,50.85097,4.36411,Ambulance
50.87624,4.32218,50.89087,4.30867,Ambulance
50.8557,4.29959,50.83254,4.31199,Ambulance
50.80636,4.33473,50.8343302,4.3454504,PIT
50.83875,4.29577,50.83254,4.31199,Ambulance
50.83193,4.30981,50.83254,4.31199,Ambulance
50.84437,4.4364,50.85211,4.4604,Ambulance
50.84403,4.41339,50.84226,4.39925,Ambulance
50.86054,4.40388,50.86948,4.38649,Ambulance
50.88786,4.4129,50.86948,4.38649,Ambulance
50.85292,4.45187,50.89087,4.30867,Ambulance
50.80621,4.40802,50.81887,4.40311,Ambulance
50.83348,4.35391,50.8343302,4.3454504,Ambulance
50.83003,4.37307,50.8258313,4.378717,PIT
50.84402,4.44598,50.85332,4.45325,MUG
50.84402,4.44598,50.85211,4.4604,Ambulance
50.83231,4.3372,50.8343302,4.3454504,Ambulance
50.81146,4.35967,50.80469,4.36764,MUG
50.81146,4.35967,50.8047,4.36763,Ambulance
50.82188,4.4016,50.8258313,4.378717,MUG
50.82188,4.4016,50.81887,4.40311,Ambulance
50.84116,4.44763,50.81887,4.40311,Ambulance
50.84116,4.44763,50.86937,4.38646,MUG
50.83848,4.44441,50.8523,4.35988,MUG
50.86422,4.34019,50.85946,4.35181,Ambulance
50.88967,4.5521,50.85211,4.4604,Ambulance
50.86774,4.37722,50.86948,4.38649,Ambulance
50.85653,4.41508,50.86948,4.38649,Ambulance
50.85653,4.41508,50.86937,4.38646,MUG
50.80318,4.41368,50.81887,4.40311,Ambulance
50.81294,4.26482,50.83254,4.31199,Ambulance
50.81294,4.26482,50.78344,4.35633,Ambulance
50.80201,4.33002,50.815980418,4.3415237283,Ambulance
50.85763,4.31411,50.83254,4.31199,Ambulance
50.83977,4.36649,50.8343302,4.3454504,Ambulance
50.83802,4.34962,50.8343302,4.3454504,Ambulance
50.83905,4.34597,50.8343302,4.3454504,Ambulance
50.86808,4.40357,50.86948,4.38649,Ambulance
50.86808,4.40357,50.85332,4.45325,MUG
50.84913,4.42261,50.85211,4.4604,Ambulance
50.83454,4.34578,50.89087,4.30867,Ambulance
50.85614,4.34679,50.85946,4.35181,Ambulance
50.87282,4.37846,50.8258313,4.378717,PIT
50.85475,4.3973,50.84226,4.39925,Ambulance
50.81672,4.34004,50.8343302,4.3454504,Ambulance
50.86315,4.32163,50.89087,4.30867,Ambulance
50.8456,4.35804,50.85097,4.36411,Ambulance
50.87295,4.35657,50.85946,4.35181,Ambulance
50.87007,4.39361,50.86948,4.38649,Ambulance
50.85884,4.35088,50.85946,4.35181,Ambulance
50.85884,4.35088,50.8523,4.35988,MUG
50.85532,4.29421,50.88492,4.3089,PIT
50.85072,4.42244,50.86948,4.38649,Ambulance
50.85072,4.42244,50.86937,4.38646,MUG
50.81268,4.32474,50.83758,4.34915,PIT
50.85306,4.3047,50.83254,4.31199,Ambulance
50.79778,4.41776,50.81887,4.40311,Ambulance
50.85289,4.37718,50.85097,4.36411,Ambulance
50.85206,4.35339,50.85097,4.36411,Ambulance
50.84906,4.29897,50.83254,4.31199,Ambulance
50.79467,4.33865,50.8258313,4.378717,PIT
50.84006,4.38033,50.84226,4.39925,Ambulance
50.88578,4.31104,50.89087,4.30867,Ambulance
50.81092,4.41055,50.81887,4.40311,Ambulance
50.81092,4.41055,50.80469,4.36764,MUG
50.77251,4.38109,50.78344,4.35633,Ambulance
50.77251,4.38109,50.8258313,4.378717,MUG
50.81628,4.34883,50.815980418,4.3415237283,Ambulance
50.84514,4.35008,50.8343302,4.3454504,Ambulance
50.84514,4.35008,50.8523,4.35988,MUG
50.86393,4.30807,50.88492,4.3089,MUG
50.86393,4.30807,50.83254,4.31199,Ambulance
50.79511,4.47853,50.81887,4.40311,Ambulance
50.82135,4.40919,50.81887,4.40311,Ambulance
50.82135,4.40919,50.8047,4.36763,Ambulance
50.86515,4.39268,50.86948,4.38649,Ambulance
50.86515,4.39268,50.86937,4.38646,MUG
50.8638,4.31172,50.89087,4.30867,Ambulance
50.86904,4.33506,50.85946,4.35181,Ambulance
50.85532,4.29421,50.81396,4.25942,MUG
50.85532,4.29421,50.83254,4.31199,Ambulance
50.86837,4.3592,50.85946,4.35181,Ambulance
50.81507,4.36727,50.8343302,4.3454504,Ambulance
50.84588,4.357,50.8343302,4.3454504,Ambulance
50.80379,4.36898,50.83758,4.34915,PIT
50.89344,4.31389,50.89087,4.30867,Ambulance
50.83186,4.34902,50.83571,4.34793,MUG
50.83186,4.34902,50.85097,4.36411,Ambulance
50.8971,4.32795,50.906541477,4.3885618595,Ambulance
50.84292,4.31155,50.83254,4.31199,Ambulance
50.85589,4.38797,50.86948,4.38649,Ambulance
50.83812,4.36216,50.85097,4.36411,Ambulance
50.8941,4.328,50.89087,4.30867,Ambulance
50.8941,4.328,50.85946,4.35181,Ambulance
50.83832,4.34995,50.83254,4.31199,Ambulance
50.83406,4.34521,50.815980418,4.3415237283,Ambulance
50.88688,4.33593,50.85946,4.35181,Ambulance
50.83966,4.34427,50.85097,4.36411,Ambulance
50.85192,4.36504,50.85946,4.35181,Ambulance
50.84366,4.34692,50.8343302,4.3454504,Ambulance
50.83617,4.35268,50.8343302,4.3454504,Ambulance
50.85069,4.39686,50.84226,4.39925,Ambulance
50.8403,4.34239,50.85097,4.36411,Ambulance
50.87628,4.39503,50.85211,4.4604,Ambulance
50.85468,4.36146,50.85946,4.35181,Ambulance
50.82417,4.33265,50.83254,4.31199,Ambulance
50.85093,4.33612,50.82573,4.37919,PIT
50.85093,4.33612,50.88492,4.3089,PIT
50.82472,4.29664,50.85097,4.36411,Ambulance
50.82472,4.29664,50.81396,4.25942,MUG
50.85236,4.38768,50.86948,4.38649,Ambulance
50.78324,4.33446,50.8047,4.36763,Ambulance
50.87967,4.31596,50.85946,4.35181,Brandziekenwagen
50.87967,4.31596,50.88492,4.3089,MUG
50.87967,4.31596,50.83254,4.31199,Ambulance
50.87136,4.37043,50.86948,4.38649,Ambulance
50.84858,4.31868,50.83571,4.34793,MUG
50.84858,4.31868,50.815980418,4.3415237283,Ambulance
50.84858,4.31868,50.8343302,4.3454504,Ambulance
50.80599,4.33806,50.815980418,4.3415237283,Ambulance
50.87813,4.32249,50.8523,4.35988,MUG
50.87813,4.32249,50.89087,4.30867,Ambulance
50.86029,4.41339,50.86948,4.38649,Ambulance
50.85557,4.38917,50.86948,4.38649,Ambulance
50.85557,4.38917,50.85097,4.36411,Ambulance
50.84753,4.41254,50.84226,4.39925,Ambulance
50.82295,4.29759,50.8343302,4.3454504,Ambulance
50.7968,4.40889,50.78344,4.35633,Ambulance
50.8625,4.36348,50.85097,4.36411,Ambulance
50.83502,4.36598,50.81887,4.40311,Ambulance
50.79817,4.33265,50.83254,4.31199,Ambulance
50.86945,4.38125,50.85946,4.35181,Brandziekenwagen
50.86945,4.38125,50.86937,4.38646,MUG
50.86945,4.38125,50.85946,4.35181,Ambulance
50.79805,4.29648,50.83254,4.31199,Ambulance
50.84373,4.42495,50.85211,4.4604,Ambulance
50.85084,4.42246,50.85211,4.4604,Ambulance
50.82839,4.33606,50.83254,4.31199,Ambulance
50.88579,4.33267,50.81887,4.40311,Ambulance
50.88113,4.32181,50.89087,4.30867,Ambulance
50.83559,4.35383,50.83758,4.34915,PIT
50.85847,4.31468,50.83254,4.31199,Ambulance
50.85266,4.43763,50.84226,4.39925,Ambulance
50.85266,4.43763,50.85332,4.45325,MUG
50.82801,4.26879,50.83254,4.31199,Ambulance
50.84342,4.29579,50.8343302,4.3454504,Ambulance
50.82997,4.34278,50.8343302,4.3454504,Ambulance
50.86173,4.36915,50.86948,4.38649,Ambulance
50.86173,4.36915,50.86937,4.38646,MUG
50.86485,4.39096,50.8523,4.35988,MUG
50.86485,4.39096,50.86948,4.38649,Ambulance
50.83047,4.36094,50.8343302,4.3454504,Ambulance
50.853,4.35797,50.85946,4.35181,Ambulance
50.853,4.35797,50.85097,4.36411,Ambulance
50.79907,4.33218,50.815980418,4.3415237283,Ambulance
50.84029,4.36932,50.8343302,4.3454504,Ambulance
50.84029,4.36932,50.85097,4.36411,Ambulance
50.86408,4.31246,50.85946,4.35181,Ambulance
50.80818,4.3123,50.83254,4.31199,Ambulance
50.81007,4.31716,50.83254,4.31199,Ambulance
50.81238,4.35852,50.8047,4.36763,Ambulance
50.83435,4.33734,50.85946,4.35181,Brandziekenwagen
50.83435,4.33734,50.83571,4.34793,MUG
50.83182,4.34979,50.85097,4.36411,Ambulance
50.87758,4.35097,50.85946,4.35181,Ambulance
50.86975,4.30746,50.85946,4.35181,Ambulance
50.88652,4.32893,50.85211,4.4604,Ambulance
50.89133,4.41945,50.86948,4.38649,Ambulance
50.80953,4.43866,50.81887,4.40311,Ambulance
50.88062,4.34038,50.89087,4.30867,Ambulance
50.86994,4.38923,50.86948,4.38649,Ambulance
50.87356,4.3771,50.85097,4.36411,Ambulance
50.85038,4.40106,50.86948,4.38649,Ambulance
50.82813,4.33865,50.8343302,4.3454504,Ambulance
50.8789,4.30697,50.89087,4.30867,Ambulance
50.8789,4.30697,50.88492,4.3089,PIT
50.80727,4.41214,50.81887,4.40311,Ambulance
50.88865,4.33867,50.89087,4.30867,Ambulance
50.83466,4.30555,50.83254,4.31199,Ambulance
50.85879,4.41331,50.83758,4.34915,PIT
50.85879,4.41331,50.85332,4.45325,MUG
50.87147,4.36102,50.85946,4.35181,Ambulance
50.8335,4.3638,50.8343302,4.3454504,Ambulance
50.84126,4.34223,50.8343302,4.3454504,Ambulance
50.83597,4.33857,50.8343302,4.3454504,Ambulance
