id,type,address,number,postal_code,municipality,province,location,public,available,hours,latitude,longitude
586.0,,Rue de l Industrie,44.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,50.8408209,4.3690893
587.0,,Rue Royale ,100.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
592.0,,Avenue de la Joyeuse Entrée,1.0,1040.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8402417,4.3851424
601.0,,Rue de Trèves ,82.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,,
605.0,,Av. Salomé,2.0,1150.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8339452,4.4577177
614.0,,Boulevard de la Woluwe,58.0,1200.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8539562,4.4441409
630.0,,Quai de Willebroeck,35.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
729.0,,Boulevard Roi Albert II ,1.0,1210.0,Bruxelles,Bruxelles-Brussel,,,,,,
730.0,,Karmelietenstraat,15.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
731.0,,Kleine Zavel ,8.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8390184,4.3567791
732.0,,Karmelietenstraat,1.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8401679,4.3585436
735.0,,Avenue Charles Thielemans,93.0,1150.0,Bruxelles,Bruxelles-Brussel,,,,,,
769.0,,Avenue Louise 480 ,480.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,,
789.0,,Boulevard Charlemagne ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8446824,4.3821656
794.0,,Chaussée de Charleroi ,110.0,1060.0,Bruxelles,Bruxelles-Brussel,,,,,,
795.0,,Rogierplein,11.0,1210.0,Brussel,Bruxelles-Brussel,,,,,,
796.0,,Galileelaan,5.0,1210.0,Brussel,Bruxelles-Brussel,,,,,50.8531034,4.3663627
797.0,,Pachecolaan,44.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
802.0,,Rue Bollinckx,352.0,1190.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
803.0,,Rue Neuve,123.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
807.0,,Louizalaan,222.0,1050.0,Brussel,Bruxelles-Brussel,,,,,,
812.0,M5066A,Marnixlaan,13.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
813.0,,Engeland,555.0,1180.0,Bruxelles,Bruxelles-Brussel,,,,,,
814.0,,Havenlaan,1.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.867522,4.3524116
822.0,,Neerveldstraat,105.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
832.0,,Square de Fré ,1.0,1180.0,Bruxelles,Bruxelles-Brussel,,,,,50.8048155,4.3486177
833.0,,Rue des Sables ,20.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
834.0,,Bourgetlaan ,42.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,,
835.0,,Bourgetlaan,42.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,,
836.0,,Bourgetlaan ,42.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,,
837.0,,Bourgetlaan ,42.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,,
842.0,,Woluwedal,102.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
862.0,,Avenue Circulaire,3.0,1180.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.7969999,4.3562782
877.0,,Avenue de la Couronne ,224.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,,
881.0,,Avenue Bouchout ,10.0,1020.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
883.0,,Rue des Sols,25.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
887.0,,Avenue Oscar Jespers,75.0,1200.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
889.0,,Avenue Oscar Jespers,75.0,1200.0,Bruxelles,Bruxelles-Brussel,,N,,,,
895.0,,Avenue de l Astronomie,14.0,1210.0,Bruxelles,Bruxelles-Brussel,,,,,50.8505291,4.3688949
898.0,,Av. Ch. Thielemans ,93.0,1150.0,Bruxelles,Bruxelles-Brussel,,,,,,
939.0,,Livingstonelaan,6.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8458175,4.37782
940.0,,Av. de Tervuren ,2.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,50.8381289,4.4046157
946.0,,Villa-Hermosa,1.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.8428794,4.3586691
947.0,,Jubelpark,10.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,,
959.0,,Broekstraat,31.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
960.0,,Boulevard de l Empereur ,4.0,1000.0,Bruxelles,Bruxelles-Brussel,,N,,,50.8421994,4.3515652
961.0,,Ch. De Charleroi,38.0,1060.0,Bruxelles,Bruxelles-Brussel,,,,,,
974.0,,Avenue du Port,57.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
975.0,,Place des Armateurs,6.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8641457,4.3540748
977.0,,Av. des Anciens Combattants,260.0,1140.0,Bruxelles,Bruxelles-Brussel,,,,,,
979.0,,Koning Albert-II laan,19.0,1210.0,Brussel,Bruxelles-Brussel,,,,,50.8596469,4.3567571
980.0,,Museumstraat,9.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.842342,4.3583426
995.0,,Leuvense weg,48.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,50.8475836,4.3638438
996.0,,Leuvense weg,48.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,50.8475836,4.3638438
997.0,,Leuvense weg,42.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,50.8475836,4.3638438
998.0,,Hertogstraat,61.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,,
999.0,,Leuvenseweg,13.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,,
1000.0,,Leuvenseweg,13.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,,
1001.0,,Leuvenseweg,21.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,,
1002.0,,Leuvenseweg,21.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,,
1003.0,,Leuvenseweg,21.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,,
1004.0,,Leuvenseweg,21.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,,
1005.0,,Leuvenseweg ,7.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,50.8479179,4.367665
1006.0,,Leuvenseweg,7.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,50.8479179,4.367665
1010.0,,Av. Arnaud Fraiteur Laan,1.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,,
1043.0,,Rue Jourdan,1.0,1060.0,Bruxelles,Bruxelles-Brussel,,N,,,50.8348927,4.3558936
1044.0,,Rue Henri Jaspaar,1.0,1060.0,Bruxelles,Bruxelles-Brussel,,N,,,,
1045.0,,Avenue Brugmann ,27.0,1060.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1050.0,,Place Jean Jacobs ,6.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.835413,4.3523991
1063.0,,Boulevard Anspach,6.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8460654,4.3472932
1064.0,,Boulevard Anspach,6.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8460654,4.3472932
1065.0,,Boulevard E. Jacqmain,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1067.0,,Rue du Prévôt,1.0,1050.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8203383,4.3628129
1084.0,,Boulevard du Triomphe ,135.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,,
1093.0,,St. Lendriksborre,3.0,1120.0,Brussel,Bruxelles-Brussel,,,,,50.9101024,4.3975459
1096.0,,Avenue du Bourget ,60.0,1140.0,Brussel,Bruxelles-Brussel,,,,,,
1097.0,,Avenue du Bourget,60.0,1140.0,Brussel,Bruxelles-Brussel,,,,,,
1106.0,,Avenue de Stalingrad ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8425121,4.3456053
1114.0,,Koning Albert II Laan ,20.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.8596469,4.3567571
1115.0,,Koning Albert II Laan ,35.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8596469,4.3567571
1117.0,,Koolstraat,35.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1127.0,,Boulevard International ,55.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
1143.0,,Gulden Vlieslaan ,87.0,1060.0,Brussel,Bruxelles-Brussel,,Y,,,,
1163.0,,Chaussée de Waterloo,1453.0,1180.0,Bruxelles,Bruxelles-Brussel,,,,,,
1189.0,,Chaussée de la Hulpe ,154.0,1170.0,Bruxelles,Bruxelles-Brussel,,,,,50.797143,4.3957165
1194.0,,Avenue des Communautés,5.0,1140.0,Bruxelles,Bruxelles-Brussel,,,,,50.8554393,4.4275498
1195.0,,Rue de Russie ,41.0,1060.0,Bruxelles,Bruxelles-Brussel,,,,,,
1196.0,,Route de Lennik,1015.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
1197.0,,Rue de la Perche 38,38.0,1060.0,Bruxelles,Bruxelles-Brussel,,,,,,
1215.0,,Rue de l Escalier,38.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8433481,4.3524876
1217.0,,Rue de l Hopital ,31.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8445644,4.3528852
1219.0,,Marcel Broodthaersplein ,4.0,1060.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.83525005,4.337836231728536
1221.0,,Gasthuisstraat ,31.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,,
1222.0,,Trapstraat ,38.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,,
1237.0,,Bld de Waterloo ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1238.0,,Place de la Justice ,16.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8435031,4.354662938776017
1242.0,,Rue Marché aux Herbes,104.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1246.0,,Rue de l Evêque ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8496611,4.3527206
1247.0,,Avenue Louise ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8165227,4.3721168
1249.0,,Bld. De la Woluwe,1.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
1255.0,,Begijnstraat ,42.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1260.0,,Sint Lambertusstraat,200.0,1200.0,Brussel,Bruxelles-Brussel,,,,,,
1262.0,,Avenue Louise,23.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,,
1264.0,,Victor Hortaplein ,40.0,1060.0,Brussel,Bruxelles-Brussel,,Y,,,50.8364491,4.3343667
1265.0,,Place Victor Horta ,40.0,1060.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1267.0,,Rue des Georgin ,2.0,1030.0,Bruxelles,Bruxelles-Brussel,,,,,,
1281.0,,Markiesstraat ,1.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8473352,4.3582847
1296.0,,Rue Montoyer,51.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8401492,4.3751906
1316.0,,Chemin de Struykbeken,2.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
1354.0,,Chaussée de Boitsfort,15.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,50.8013465,4.3971732
1371.0,,Quai de la Voirie,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.860252,4.3494209
1372.0,,"Grand Place, Hôtel de Ville",1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1387.0,,Place Victor Horta,11.0,1060.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1388.0,,Place Victor Horta,11.0,1060.0,Brussel,Bruxelles-Brussel,,Y,,,,
1389.0,,Koloniënstraat,56.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1415.0,,Hallepoortlaan,40.0,1060.0,Brussel,Bruxelles-Brussel,,,,,,
1422.0,,Avenue Louise,65.0,1050.0,Bruxelles,Bruxelles-Brussel,,,,,,
1426.0,,Frankrijkstraat,40.0,1060.0,Brussel,Bruxelles-Brussel,,,,,,
1429.0,,Waterloosesteenweg,715.0,1180.0,Brussel,Bruxelles-Brussel,,,,,,
1433.0,,Dambordstraat,26.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1436.0,,Rodestraat,47.0,1180.0,Brussel,Bruxelles-Brussel,,,,,,
1437.0,,Jean Vander Elstplein,29.0,1180.0,Brussel,Bruxelles-Brussel,,,,,50.8032689,4.3344725
1441.0,,Koning Albert II-laan,15.0,1210.0,Brussel,Bruxelles-Brussel,,Y,,,50.8596469,4.3567571
1460.0,,Tervurenlaan,361.0,1150.0,Brussel,Bruxelles-Brussel,,,,,,
1466.0,,Rue 2 Gares,82.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
1467.0,,Tweestationsstraat,82.0,1070.0,Brussel,Bruxelles-Brussel,,,,,,
1468.0,,Frankrijkstraat,1.0,1060.0,Brussel,Bruxelles-Brussel,,,,,50.8357463,4.3332007
1470.0,,Frankrijkstraat,85.0,1060.0,Brussel,Bruxelles-Brussel,,,,,,
1471.0,,Rue de France,1.0,1060.0,Bruxelles,Bruxelles-Brussel,,,,,50.8357463,4.3332007
1472.0,,Carrefour de l Europe ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.845908,4.3566717
1473.0,,Europkruispunt,2.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1474.0,,Avenue de Vilvoorde,450.0,1130.0,Bruxelles,Bruxelles-Brussel,,N,,,,
1476.0,,Internationalelaan,55.0,1070.0,Brussel,Bruxelles-Brussel,,,,,,
1484.0,,Rue des Chalets,1.0,1082.0,Bruxelles,Bruxelles-Brussel,,,,,50.8695405,4.2894616
1492.0,,Fontainasplein,1.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.8454544,4.3465023
1493.0,,Fontainasplein,1.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.8454544,4.3465023
1496.0,,Chaussée de ala Hulpe,120.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1500.0,,Chée de Haecht,1179.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,,
1508.0,,Dobbelenbergstraat,8.0,1180.0,Brussel,Bruxelles-Brussel,,,,,50.902697,4.4202796
1511.0,,Havenlaan ,1.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.867522,4.3524116
1514.0,,Havenlaan ,1.0,1000.0,Brussel,Bruxelles-Brussel,,N,,,50.867522,4.3524116
1515.0,,Park van Woluwelaan,68.0,1160.0,Brussel,Bruxelles-Brussel,,N,,,,
1516.0,,Tuinbouwersstraat,89.0,1020.0,Brussel,Bruxelles-Brussel,,N,,,,
1539.0,,Rond Point Schuman,1.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,50.8422083,4.3834607
1540.0,,Avenue des Communautés,5.0,1140.0,Bruxelles,Bruxelles-Brussel,,,,,50.8554393,4.4275498
1541.0,,Rue du Maroquin,1.0,1080.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8568241,4.3414311
1548.0,,Sterrenkundelaan,1.0,1210.0,Brussel,Bruxelles-Brussel,,,,,50.8505291,4.3688949
1560.0,,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel,,,,,,
1561.0,,Olympiadenlaan ,2.0,1140.0,Brussel,Bruxelles-Brussel,,,,,50.8693821,4.4046716
1566.0,,Rue Haute,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.833424,4.3450284
1567.0,,Rue Haute,296.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1568.0,,Rue de l Abricotier,7.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.836024,4.3477531
1569.0,,Rue du Cerf ,375.0,1070.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.8374049,4.3545233
1570.0,,Rue Médori,70.0,1020.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1588.0,,Esplanade,1.0,1020.0,Brussel,Bruxelles-Brussel,,Y,,,50.9005268,4.3438756
1607.0,,Avenue du Bourget,44.0,1130.0,Bruxelles,Bruxelles-Brussel,,,,,,
1609.0,,Avenue Ariane,16.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
1610.0,,BLD MAURICE HERBETTE,1.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
1611.0,,Rue du Moulin a Papier,55.0,1160.0,Bruxelles,Bruxelles-Brussel,,,,,,
1618.0,,Avenue Eugène Plasky,144.0,1030.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1622.0,,Blvd du Souverain,165.0,1160.0,Bruxelles,Bruxelles-Brussel,,,,,,
1623.0,,Chaussée de Mons,1425.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
1624.0,,Blvd. De la 2ième armée Brittanique ,625.0,1190.0,Bruxelles,Bruxelles-Brussel,,,,,,
1625.0,,Rue de la Loi ,44.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,50.8465573,4.351697
1626.0,,Rue de la Loi ,44.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,50.8465573,4.351697
1629.0,,Eugène Plaskylaan ,144.0,1030.0,Bruxelles,Bruxelles-Brussel,,,,,,
1631.0,,Wetstraat,44.0,1040.0,Brussel,Bruxelles-Brussel,,Y,,,,
1632.0,,Wetstraat,44.0,1040.0,Brussel,Bruxelles-Brussel,,Y,,,,
1633.0,,Brits Tweedelegerlaan,625.0,1190.0,Brussel,Bruxelles-Brussel,,,,,,
1643.0,,Allée Hof ter Vleesdreef,1.0,1070.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1644.0,,Allée Hof ter Vleesdreef,1.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
1653.0,,Rue Dante,75.0,1070.0,Bruxelles,Bruxelles-Brussel,,,,,,
1657.0,,Rue de France,1.0,1060.0,Bruxelles,Bruxelles-Brussel,,,,,50.8357463,4.3332007
1658.0,,Rue des Alexiens,45.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1667.0,,Place Sainte Gudule,19.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1668.0,,Place Sainte Gudule,14.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1688.0,,Avenue Mounier,51.0,1200.0,Bruxelles,Bruxelles-Brussel,,,,,,
1704.0,,Bolwerklaan,17.0,1210.0,Brussel,Bruxelles-Brussel,,,,,,
1705.0,,Boulevard de Régent,54.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1710.0,,Rue de l Ecuyer,11.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8490418,4.3541547
1711.0,,Rue de la Loi,19.0,1040.0,Bruxelles,Bruxelles-Brussel,,,,,50.8465573,4.351697
1712.0,,Boulevard du Jardin Botanique ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8531427,4.3656326
1713.0,,Place Poelaert,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.837628699999996,4.352605587283554
1714.0,,Place Rogier,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8553685,4.3582398
1715.0,,Rue de l Ommegang,16.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8524951,4.3615358
1716.0,,Boulevard de Waterloo,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8333582,4.3450154
1729.0,,Rue Chêne,1.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8444736,4.350556
1730.0,,Rue du Lombard,57.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1731.0,,Rue du Chëne,22.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,50.8444736,4.350556
1732.0,,Rue du Lombard,69.0,1000.0,Bruxelles,Bruxelles-Brussel,,,,,,
1733.0,,Lombardstraat,69.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1734.0,,Eikstraat,22.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1735.0,,Eikstraat,1.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8444736,4.350556
1736.0,,Lombardstraat,57.0,1000.0,Brussel,Bruxelles-Brussel,,,,,,
1737.0,,Route de Lennik ,788.0,1070.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1739.0,,Rue du Marché,30.0,1210.0,Bruxelles,Bruxelles-Brussel,,Y,,,,
1760.0,,Av. E. Van Nieuwenhuyse,2.0,1160.0,Bruxelles,Bruxelles-Brussel, rez - fond du couloir,Y,,,,
1761.0,,Av. E. Van Nieuwenhuyse,2.0,1160.0,Bruxelles,Bruxelles-Brussel,"2e étage, fond couloir",Y,,,,
1762.0,,Av. E. Van Nieuwenhuyse,2.0,1160.0,Bruxelles,Bruxelles-Brussel, 1 ière étage infirmerie,N,,,,
1824.0,,Square de Meeus,23.0,1000.0,Bruxelles,Bruxelles-Brussel, hall entrée,,,,,
1828.0,,Rue de la Loi,22.0,1000.0,Bruxelles,Bruxelles-Brussel,hall entrée,,,,50.8465573,4.351697
1866.0,,Rue Charles Malis,61.0,1080.0,Bruxelles,Bruxelles-Brussel,acceuil,,,,,
1877.0,,Chaussée de la Hulpe,178.0,1170.0,Bruxelles,Bruxelles-Brussel,"6ième étage, infirmerie",Y,,,,
1912.0,Appareil fixe-Vast apparaat,avenue de l Astronomie,19.0,1210.0,Saint-Josse ten Noode,Bruxelles-Brussel,Hall au rez face au bureau d accueil,Oui-Ja,Non-Nee,Lu - ve : 8.30 - 20.30 / Sa : 8.30 - 12.00,50.8505291,4.3688949
1990.0,,Av. Charles Quint,560.0,1082.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
1994.0,,Bv. Du Souverain,240.0,1160.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
1995.0,,Av. Des Olympiades,20.0,1140.0,Bruxelles,Bruxelles-Brussel, 5ième talent team et HR,,,,,
1996.0,,Av. Des Olympiades,20.0,1140.0,Bruxelles,Bruxelles-Brussel, près de l accueil étage P,,,,,
1997.0,,Av. Des Olympiades,20.0,1140.0,Bruxelles,Bruxelles-Brussel,près de l accueil magasin,,,,,
2002.0,,Rue Neuve,123.0,1000.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
2005.0,,Cours St-Michel,80.0,1040.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
2006.0,,Av. Frères Legrain,75.0,1150.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
2007.0,,Rue Gatti De Gamond,60.0,1180.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,50.7987799,4.3274848
2008.0,,Chée De Waterloo,609.0,1050.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
2009.0,,Rue Tomberg,1.0,1200.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
2010.0,,Chée de Boondael,442.0,1050.0,Bruxelles,Bruxelles-Brussel,derrière caisse 1,,,,,
2011.0,,Av. Marius Renard,21.0,1070.0,Bruxelles,Bruxelles-Brussel,près de l accueil,,,,,
2014.0,,Rue de la Loi,16.0,1000.0,Bruxelles,Bruxelles-Brussel, rez salle de controle,,,,50.8465573,4.351697
2015.0,,Rue de la Loi,18.0,1000.0,Bruxelles,Bruxelles-Brussel,Rez de chaussée,,,,50.8465573,4.351697
2084.0,,Haachtsesteenweg,579.0,1030.0,Bruxelles,Bruxelles-Brussel,glvl naast balie,,,,,
2090.0,,Birminghamstraat,221.0,1070.0,Brussel,Bruxelles-Brussel," hoofdingang, links",,,,,
2091.0,,Fonsnylaan,40.0,1060.0,Brussel,Bruxelles-Brussel," EHBO zaal, glvl, achterkant",,,,,
2092.0,,Triomflaan,173.0,1160.0,Brussel,Bruxelles-Brussel,"5e verd, oostkant",,,,,
2108.0,,Werkhuizenkaai,1.0,1000.0,Brussel,Bruxelles-Brussel,"lokaal bewaking, ing markt",,,,50.8750396,4.3629959
2110.0,,Blv. de la Woluwe ,28.0,1150.0,Bruxelles,Bruxelles-Brussel, rez traiteur et boucherie,,,,,
2129.0,,Scheldestraat,122.0,1080.0,Brussel,Bruxelles-Brussel,achter balie postlokaal,,,,,
2141.0,,Rue Traversière,21.0,1210.0,Bruxelles,Bruxelles-Brussel,rez à coté de l incendie,,,,,
2145.0,,Boulevard du Régent,37.0,1000.0,Bruxelles,Bruxelles-Brussel,4ième étage salle réunion,,,,,
2157.0,,Av. D Hougoumont,14.0,1180.0,Bruxelles,Bruxelles-Brussel,"1ière étage bar, bar, ",,,,50.7755379,4.3818572
